state,utility_name,year,month,county,zip_code,number_of_disonnections
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20743,1
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20774,1
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20772,1
Maryland,Washington Gas Light Company,2020,November,Montgomery,20866,1
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20744,1
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20745,1
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20772,1
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20784,2
Maryland,Washington Gas Light Company,2020,November,Prince Georges,20785,1
Maryland,Washington Gas Light Company,2020,December,Frederick,21703,1
Maryland,Washington Gas Light Company,2020,December,Montgomery,20910,6
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20705,5
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20706,8
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20715,2
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20743,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20772,3
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20774,4
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20783,2
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20715,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20772,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20783,1
Maryland,Washington Gas Light Company,2020,December,Montgomery,20866,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20706,6
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20715,2
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20716,5
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20720,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20721,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20744,2
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20745,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20772,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20783,2
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20784,1
Maryland,Washington Gas Light Company,2020,December,Prince Georges,20785,1
Maryland,Washington Gas Light Company,2021,January,Charles,20601,9
Maryland,Washington Gas Light Company,2021,January,Charles,20602,3
Maryland,Washington Gas Light Company,2021,January,Charles,20603,1
Maryland,Washington Gas Light Company,2021,January,Prince Georges,20607,1
Maryland,Washington Gas Light Company,2021,January,Charles,20616,1
