state,utility_name,year,month,zip_code,number_of_customers,number_of_disconnections
Oregon,Idaho Power,2018,August,83301,1,0
Oregon,Idaho Power,2018,August,83687,1,0
Oregon,Northwest Natural Gas Company,2018,August,97002,757,0
Oregon,Northwest Natural Gas Company,2018,August,97003,6754,8
Oregon,Northwest Natural Gas Company,2018,August,97004,219,0
Oregon,Northwest Natural Gas Company,2018,August,97005,4214,9
Oregon,Northwest Natural Gas Company,2018,August,97006,9230,4
Oregon,Northwest Natural Gas Company,2018,August,97007,13201,15
Oregon,Northwest Natural Gas Company,2018,August,97008,6250,8
Oregon,Northwest Natural Gas Company,2018,August,97009,1000,1
Oregon,Northwest Natural Gas Company,2018,August,97013,3238,0
Oregon,Northwest Natural Gas Company,2018,August,97015,4500,7
Oregon,Northwest Natural Gas Company,2018,August,97016,103,0
Oregon,Northwest Natural Gas Company,2018,August,97018,644,0
Oregon,Northwest Natural Gas Company,2018,August,97020,157,1
Oregon,Northwest Natural Gas Company,2018,August,97024,1988,3
Oregon,Northwest Natural Gas Company,2018,August,97026,338,0
Oregon,Northwest Natural Gas Company,2018,August,97027,2887,5
Oregon,Northwest Natural Gas Company,2018,August,97030,6331,26
Oregon,Northwest Natural Gas Company,2018,August,97031,3415,2
Oregon,Northwest Natural Gas Company,2018,August,97032,860,0
Oregon,Northwest Natural Gas Company,2018,August,97034,6628,5
Oregon,Northwest Natural Gas Company,2018,August,97035,6917,2
Oregon,Northwest Natural Gas Company,2018,August,97036,1,0
Oregon,Northwest Natural Gas Company,2018,August,97038,1961,4
Oregon,Northwest Natural Gas Company,2018,August,97042,106,0
Oregon,Northwest Natural Gas Company,2018,August,97045,10961,8
Oregon,Northwest Natural Gas Company,2018,August,97048,371,1
Oregon,Northwest Natural Gas Company,2018,August,97051,3077,3
Oregon,Northwest Natural Gas Company,2018,August,97053,598,0
Oregon,Northwest Natural Gas Company,2018,August,97054,20,0
Oregon,Northwest Natural Gas Company,2018,August,97055,3223,6
Oregon,Northwest Natural Gas Company,2018,August,97056,2354,2
Oregon,Northwest Natural Gas Company,2018,August,97058,1528,2
Oregon,Northwest Natural Gas Company,2018,August,97060,4644,5
Oregon,Northwest Natural Gas Company,2018,August,97062,5972,6
Oregon,Northwest Natural Gas Company,2018,August,97064,657,1
Oregon,Northwest Natural Gas Company,2018,August,97068,9245,8
Oregon,Northwest Natural Gas Company,2018,August,97070,5794,4
Oregon,Northwest Natural Gas Company,2018,August,97071,4937,8
Oregon,Northwest Natural Gas Company,2018,August,97078,5737,9
Oregon,Northwest Natural Gas Company,2018,August,97080,10414,9
Oregon,Northwest Natural Gas Company,2018,August,97086,8172,6
Oregon,Northwest Natural Gas Company,2018,August,97089,3210,4
Oregon,Northwest Natural Gas Company,2018,August,97101,290,1
Oregon,Northwest Natural Gas Company,2018,August,97103,3922,15
Oregon,Northwest Natural Gas Company,2018,August,97106,415,2
Oregon,Northwest Natural Gas Company,2018,August,97110,1294,2
Oregon,Northwest Natural Gas Company,2018,August,97111,21,0
Oregon,Northwest Natural Gas Company,2018,August,97113,2056,2
Oregon,Northwest Natural Gas Company,2018,August,97114,17,0
Oregon,Northwest Natural Gas Company,2018,August,97115,920,1
Oregon,Northwest Natural Gas Company,2018,August,97116,3116,3
Oregon,Northwest Natural Gas Company,2018,August,97121,409,0
Oregon,Northwest Natural Gas Company,2018,August,97123,10292,9
Oregon,Northwest Natural Gas Company,2018,August,97124,10606,12
