state,utility_name,zip_code,month,year,number_of_disconnections
Washington,Puget Sound Energy Inc,98001,April,2019,8
Washington,Puget Sound Energy Inc,98002,April,2019,10
Washington,Puget Sound Energy Inc,98003,April,2019,40
Washington,Puget Sound Energy Inc,98004,April,2019,32
Washington,Puget Sound Energy Inc,98005,April,2019,13
Washington,Puget Sound Energy Inc,98006,April,2019,40
Washington,Puget Sound Energy Inc,98007,April,2019,20
Washington,Puget Sound Energy Inc,98008,April,2019,18
Washington,Puget Sound Energy Inc,98010,April,2019,16
Washington,Puget Sound Energy Inc,98011,April,2019,29
Washington,Puget Sound Energy Inc,98012,April,2019,1
Washington,Puget Sound Energy Inc,98014,April,2019,0
Washington,Puget Sound Energy Inc,98019,April,2019,0
Washington,Puget Sound Energy Inc,98020,April,2019,11
Washington,Puget Sound Energy Inc,98021,April,2019,0
Washington,Puget Sound Energy Inc,98022,April,2019,48
Washington,Puget Sound Energy Inc,98023,April,2019,82
Washington,Puget Sound Energy Inc,98024,April,2019,1
Washington,Puget Sound Energy Inc,98026,April,2019,24
Washington,Northwest Natural Gas Company,98026,April,2019,0
Washington,Puget Sound Energy Inc,98027,April,2019,1
Washington,Puget Sound Energy Inc,98028,April,2019,31
Washington,Puget Sound Energy Inc,98029,April,2019,0
Washington,Puget Sound Energy Inc,98030,April,2019,14
Washington,Puget Sound Energy Inc,98031,April,2019,43
Washington,Puget Sound Energy Inc,98032,April,2019,59
Washington,Puget Sound Energy Inc,98033,April,2019,2
Washington,Puget Sound Energy Inc,98034,April,2019,54
Washington,Puget Sound Energy Inc,98036,April,2019,3
Washington,Puget Sound Energy Inc,98037,April,2019,1
Washington,Puget Sound Energy Inc,98038,April,2019,51
Washington,Puget Sound Energy Inc,98039,April,2019,1
Washington,Puget Sound Energy Inc,98040,April,2019,23
Washington,Puget Sound Energy Inc,98042,April,2019,11
Washington,Puget Sound Energy Inc,98043,April,2019,4
Washington,Puget Sound Energy Inc,98045,April,2019,13
Washington,Puget Sound Energy Inc,98047,April,2019,15
Washington,Puget Sound Energy Inc,98051,April,2019,1
Washington,Puget Sound Energy Inc,98052,April,2019,34
Washington,Puget Sound Energy Inc,98053,April,2019,11
Washington,Puget Sound Energy Inc,98055,April,2019,45
Washington,Puget Sound Energy Inc,98056,April,2019,67
Washington,Puget Sound Energy Inc,98057,April,2019,33
Washington,Puget Sound Energy Inc,98058,April,2019,68
Washington,Puget Sound Energy Inc,98059,April,2019,28
Washington,Puget Sound Energy Inc,98065,April,2019,6
Washington,Puget Sound Energy Inc,98068,April,2019,1
Washington,Puget Sound Energy Inc,98070,April,2019,21
Washington,Puget Sound Energy Inc,98072,April,2019,25
Washington,Puget Sound Energy Inc,98074,April,2019,0
Washington,Puget Sound Energy Inc,98075,April,2019,0
Washington,Puget Sound Energy Inc,98077,April,2019,2
Washington,Puget Sound Energy Inc,98087,April,2019,1
Washington,Puget Sound Energy Inc,98092,April,2019,35
Washington,Puget Sound Energy Inc,98101,April,2019,0
Washington,Puget Sound Energy Inc,98102,April,2019,0
Washington,Puget Sound Energy Inc,98103,April,2019,0
Washington,Puget Sound Energy Inc,98104,April,2019,0
Washington,Puget Sound Energy Inc,98105,April,2019,0
Washington,Puget Sound Energy Inc,98106,April,2019,16
Washington,Puget Sound Energy Inc,98107,April,2019,19
Washington,Puget Sound Energy Inc,98108,April,2019,5
Washington,Puget Sound Energy Inc,98109,April,2019,1
Washington,Puget Sound Energy Inc,98110,April,2019,0
Washington,Puget Sound Energy Inc,98112,April,2019,0
Washington,Puget Sound Energy Inc,98115,April,2019,0
Washington,Puget Sound Energy Inc,98116,April,2019,17
Washington,Puget Sound Energy Inc,98117,April,2019,13
Washington,Puget Sound Energy Inc,98118,April,2019,5
Washington,Northwest Natural Gas Company,98119,April,2019,0
Washington,Puget Sound Energy Inc,98119,April,2019,6
Washington,Puget Sound Energy Inc,98121,April,2019,0
Washington,Puget Sound Energy Inc,98122,April,2019,0
Washington,Puget Sound Energy Inc,98125,April,2019,0
Washington,Puget Sound Energy Inc,98126,April,2019,42
Washington,Northwest Natural Gas Company,98127,April,2019,0
Washington,Puget Sound Energy Inc,98133,April,2019,0
Washington,Puget Sound Energy Inc,98134,April,2019,0
Washington,Puget Sound Energy Inc,98136,April,2019,7
Washington,Puget Sound Energy Inc,98144,April,2019,0
Washington,Puget Sound Energy Inc,98146,April,2019,20
Washington,Puget Sound Energy Inc,98148,April,2019,38
Washington,Puget Sound Energy Inc,98155,April,2019,0
Washington,Puget Sound Energy Inc,98166,April,2019,42
